FDA Handle,FDA Upload Date,Omeka Link,research,Confirmed/processed,Filename,File size,OCLC,Monograph/Serial,Type,Title (cyrillic) i͡e Ī ī Ẏ Ḟ ѣ,Title (romanized) ĭ  ë  i͡a  I͡A  ė  Ė  t͡s,Title (controlled)  T͡S  I͡U i͡u,Author (romanized),Author (cyrillic),Author's date of death,Place of publication (Cyrillic),Place of publication (romanized),Publisher (Cyrillic),Publishers (romanized),DCAA publisher number,Date,# of pages,Series (cyrillic),Series (romanized),Series/Serial numbering,Geographic region,Subject,Summary,Online version,Rights information,Notes,Additional Author 1,Additional Author 2,Additional Author 3,Additional Author 4,Series 2,Series 3,Language,Geospatial Data
http://hdl.handle.net/2451/38583,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1122,in,present,isawdca_000058.pdf,248 MB,5337297,monograph,book,"Опытъ словаря тюркскихъ нарѣчiй, т. 2, ч. 1 ","Opyt"" slovari͡a ti͡urkskih"" nari͡echiĭ",,"Radlov, V. V. (Vasiliĭ Vasilʹevich), 1837-1918","Радлов, В.В. ",1837-1918,Санктпетербургъ,Sanktpeterburg,Императорская академii͡a наукъ,Imperatorskai͡a Akademīi͡a nauk,0,1899,532,,,"v. 2, part 1",,Turkic languages -- Dictionaries -- Polyglot. Turkic languages -- Dialects. Turkic languages.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.",,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/38584,5/4/2017,http://dcaa.hosting.nyu.edu/items/show/1123,in,present,isawdca_000059.pdf,216 MB,5337297,monograph,book,"Опытъ словаря тюркскихъ нарѣчiй, т. 2, ч. 2 ","Opyt"" slovari͡a ti͡urkskih"" nari͡echiĭ",,"Radlov, V. V. (Vasiliĭ Vasilʹevich), 1837-1918","Радлов, В.В. ",1837-1918,Санктпетербургъ,Sanktpeterburg,Императорская академii͡a наукъ,Imperatorskai͡a Akademīi͡a nauk,0,1899,449,,,"v. 2, part 2",,Turkic languages -- Dictionaries -- Polyglot. Turkic languages -- Dialects.Turkic languages.,"Value: 3. While the original was published in 19th century, the fact that it was reproduced in 1960 testifies to the fact that it still has scholarly value.",,"NYU believes this publication is in the public domain. However, if you believe that you are the copyright owner of any material displayed here, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/39672,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1104,in,present,isawdca_000002.pdf,38.3 MB,7105168,serial,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,,Душанбе ,Dushanbe,Изд-во Академии наук Таджикской ССР,Izd-vo Akademii nauk Tadzhikskoĭ SSR,4,1959,190,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.",4,Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/213805720.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",In ART subdirectory,,,,,"Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.","Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42. ",Russian,
http://hdl.handle.net/2451/39673,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1114,in,present,isawdca_000044.pdf,92.0 MB,4551064,monograph,book,Монеты древнего Хорезма,Monety drevnego Khorezma,Monety drevnego Khorezma,"Vaĭnberg, B. I. (Bėlla Ilʹinichna)","Вайнберг, Б.И.",1932-2010,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1977,226,,,,,"Khorezm Oasis--History. Coins, Ancient.",,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015025914931","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/39674,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1115,in,present,isawdca_000046.pdf,28.4 MB,11536590,monograph,book,Графический фонд памятников тюркской рунической письменности азиатского ареала,Graficheskiĭ fond pami︠a︡tnikov ti︠u︡rkskoĭ runicheskoĭ pisʹmennosti aziatskogo areala : opyt sistematizat︠s︡ii,Graficheskiĭ fond pami︠a︡tnikov ti︠u︡rkskoĭ runicheskoĭ pisʹmennosti aziatskogo areala : opyt sistematizat︠s︡ii,"Vasilʹev, D. D. (Dmitriĭ Dmitrievich)","Васильев, Д.Д.",1946-2003,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka,"" Glav. red. vostochnoĭ lit-ry",13,1983,163,,,,,"Iscriptions. Old Turkic. Graphemics. Paleography, Old Turkic. Inscriptions. Runic--Asia.",,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/11536590.html","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",,,,,,,,Russian,
http://hdl.handle.net/2451/39675,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1118,in,present,isawdca_000050.pdf,64.7 MB,10800995,monograph,book,Древние охотники и рыболовы среднеазиатского Междуречья,Drevnie okhotniki i rybolovy Sredneaziatskogo mezhdurechʹi︠a︡,Drevnie okhotniki i rybolovy Sredneaziatskogo mezhdurechʹi︠a︡,"Vinogradov, A. V. (Aleksandr Vladimirovich)","Виноградов, А.В.",1946-,Москва,Moskva,"Изд-во ""Наука""","Izd-vo ""Nauka""",15,1981,178,Труды Хорезмской архeолого-этнографической экспедиции,Trudy Khorezmskoĭ arkheologo-ėtnograficheskoĭ ėkspedit︠s︡ii,13,Uzbekistan,Khoresm oasis (Uzbekistan)--Antiquities. Uzbekistan--Antiquities. Antiquities.,,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015019581951",,,,,,,Khorezmskai︠a︡ arkheologo-ėtnograficheskai︠a︡ ėkspedit︠s︡ii︠a︡ (1937- ),,Russian,
http://hdl.handle.net/2451/39676,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1105,in,present,isawdca_000003.pdf,99.3 MB,7105168,serial,serial,Археологические работы в Таджикистане.,Arkheologicheskie raboty v Tadzhikistane.,Arkheologicheskie raboty v Tadzhikistane,,,,Душанбе,Dushanbe,Изд-во Академии наук Таджикской ССР,Izd-vo Akademii nauk Tadzhikskoĭ SSR,4,1961,196,,"Doklady (Akademii︠a︡i fanḣoi RSS Tojikston), t. 11.; Trudy (Akademii︠a︡i fanḣoi RSS Tojikiston), t. 37, 63, 91, 103.; Trudy (Instituti taʺrikhi ba nomi A. Donish), t. 27, 31, 34, 42.",7,Tajikistan,Excavations (Archaeology)--Tajikistan--Periodicals. Tajikistan--Antiquities--Periodicals.,,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/213805720.html",,In ART subdirectory,"Litvinskiĭ, B.A. (Boris Anatol'evich)",,,,,,Russian,
http://hdl.handle.net/2451/39677,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1107,in,present,isawdca_000025.pdf,55.5 MB,21598176,monograph,book,Запад Центральной Азии во II в. до н.э. - VII в.н.э. (историко-географический обзор по древнекитайским источникам),"Zapad T͡sentralʹnoĭ Azii vo II v. do n.ė.-VII v. n.ė., (istorico-geographicheskiĭ obzor po drevnekitaĭskim istochnikam)","Zapad T͡sentralʹnoĭ Azii vo II v. do n.ė.-VII v. n.ė.,","Borovkova, L. A. (Li͡udmila Akimovna)","Боровкова, Л.А.",?,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1989,175,,,,,"China -- History -- Han dynasty, 202 B.C. - 22- A.D. China -- History -- 220-589 Han Dynasty (China)",,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015016930169","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",From folder Disk16 new,,,,,,,Russian,
http://hdl.handle.net/2451/39678,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1108,in,present,isawdca_000026.pdf,74.4 MB,21939863,monograph,book,Буддизм и государство на Дальнем Востоке. Сборник Статей.,Buddizm i gosudarstvo na Dal'nem Vostoke. Sbornik stateĭ.,,"Deli͡usin, L. P. (Lev Petrovich)","Делюсин, Л.П.",1923-2013,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1987,234,,,,East Asia,Buddhism--East Asia--History. Religion and state--East Asia--History. Buddhism.,,"LIMITED VIEW, http://hdl.handle.net/2027/uc1.b3697309","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",Collection of articles.,,,,,,,Russian,
http://hdl.handle.net/2451/39679,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1109,in,present,isawdca_000030.pdf,97.7 MB,11574146,serial,serial,"Буддийские памятники Кара-тепе в Старом Термезе: основные итоги работ, 1974-1977 гг.","Buddiĭskie pami︠a︡tniki Kara-tepe v Starom Termeze : osnovnye itogi rabot, 1974-1977 gg.","Buddiĭskie pami︠a︡tniki Kara-tepe v Starom Termeze : osnovnye itogi rabot, 1974-1977 gg.","Staviskiĭ, B. I͡A. (Boris I͡Akovlevich)","Ставиский, Б.Я.",1926-2006,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. востчной лит-ры","Izd-vo ""Nauka,"" Glav. red. vostochnoĭ lit-ry",13,1982,203,Материалы совместной археологической экспедиции на Кара-Тепе,Materialy Sovmestnoĭ arkheologicheskoĭ ėkspedit︠s︡ii na Kara-tepe.,5,Uzbekistan,Buddhist antiquities -- Uzbekistan -- Termiz. Kara-Tepe Site (Uzbekistan). Buddhist antiquities.,,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015005440469","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.","Results of archaeological expeditions, 1974-1977",,,,,,,Russian,
http://hdl.handle.net/2451/39680,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1110,in,present,isawdca_000031.pdf,107 MB,3938720,serial,serial,"Буддийские пещеры Кара-тепе в Старом Термезе: основные итоги работ, 1963-1965 гг. Надписи, терракоты, каменные рельефы.",Buddiĭskie peshchery Kara-tepe v Starom Termeze.,Buddiĭskie peshchery Kara-tepe v Starom Termeze.,"Staviskiĭ, B. I͡A. (Boris I͡Akovlevich)","Ставиский, Б.Я.",1926-2006,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1969,235,Материалы совместной археологической экспедиции на Кара-тепе.,Materialy Sovmestnoĭ arkheologicheskoĭ ėkspedit︠s︡ii na Kara-tepe.,,Uzbekistan,Termiz (Uzbekistan)--Antiquities.,,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015065923354","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.","Results of archaeological expeditions, 1963-64",,,,,,,Russian,
http://hdl.handle.net/2451/39681,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1111,in,present,isawdca_000032.pdf,90.3 MB,20146784,serial,serial,"Буддийский культовый центр Кара-тепе в Старом Термезе: основные итоги работ, 1965-1971 гг.",Buddiĭskiĭ kulʹtovyĭ t︠s︡entr Kara-tepe v Starom Termeze.,Buddiĭskiĭ kulʹtovyĭ t︠s︡entr Kara-tepe v Starom Termeze.,"Staviskiĭ, B. I͡A. (Boris I͡Akovlevich)","Ставиский, Б.Я.",1926-2006,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1972,209,Материалы совместной археологической экспедиции на Кара-Тепе,Materialy Sovmestnoĭ arkheologicheskoĭ ėkspedit︠s︡ii na Kara-tepe.,3,Uzbekistan,Kara-Tepe Uzbekistan--Antiquities. Buddhist. Buddhist antiquities--Uzbekistan--Kara-Tepe.,,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015026274483","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.","Results of archaeological expeditions, 1965-1971",,,,,,,Russian,
http://hdl.handle.net/2451/39682,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1112,in,present,isawdca_000034.pdf,79.3 MB,23940365,monograph,book,Государство хорезмшахов-ануштегинидов (1097-1231),"Gosudarstvo Khorezmshakhov-Anushteginidov, 1097-1231","Gosudarstvo Khorezmshakhov-Anushteginidov, 1097-1231","Bunii︠a︡tov, Zii︠a︡ M.","Буниятов, З.М.",1921-1997,Москва,Moskva,"Изд-во ""Наука"", Глав. ред. восточной лит-ры","Izd-vo ""Nauka"" Glav. red. vostochnoĭ lit-ry",13,1986,251,,,,Azerbaĭdzhan,Khorezm (Kingdom)--History. Amu Darya Valley--History.,,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015019997769","Institute of Oriental Research, Russian Academy of Sciences has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital Central Asian Archaeology collection. We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from Institute of Oriental Research, Russian Academy of Sciences. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/takedown-notice.",From folder Disk16 new,,,,,,,Russian,
http://hdl.handle.net/2451/39683,8/25/2017,http://dcaa.hosting.nyu.edu/items/show/1113,in,present,isawdca_000043.pdf,220 MB,6671777,monograph,book,В.В.Бартольду,"V.V. Bartolʹdu turkestanskie druzʹi︠a︡, ucheniki i pochitateli",,"Shmidt, A. Ė.","Шмидт, А.Э.",1871-1939,Ташкент ,Tashkent,Типо-литография Н. 2 Казгиза,Tipo-lit. No. 2 Kazgiza,0,1927,569,,,,Central Asia,"Bartolʹd, V. V. -- (Vasiliĭ Vladimirovich), -- 1869-1930. Asia -- Study and teaching -- History. Middle East -- Study and teaching -- History.",Value: 3. Most of the articles are outside of the scope of ISAW interest. Some things might be relevant (see table of contents).,"NO BOOK, https://books.google.com/books?id=Vz_RAAAAMAAJ&hl=en","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",collection of archaeological articles,"Betger, E.K.",,,,,,Russian,
